longitude_list,latitude_list,OVIII_column_number_density_integrate_data_list
90.0,-15.0,13.975517671906402
90.0,-10.0,13.589864879551184
90.0,-5.0,12.716207887977466
90.0,0.0,12.785982910767482
90.0,5.0,13.782144159673592
90.0,10.0,14.195609304252114
90.0,15.0,14.345233609991736
90.0,20.0,14.360924705445353
90.0,25.0,14.41425916568222
90.0,30.0,14.402058972783065
90.0,35.0,14.435816437425258
90.0,40.0,14.473955410779572
90.0,45.0,14.483658398506776
90.0,50.0,14.394253463401176
90.0,55.0,14.451678890681737
90.0,60.0,14.419307903516414
90.0,65.0,14.511535577276675
90.0,70.0,14.53204553842291
90.0,75.0,14.564871804511242
90.0,80.0,14.593906579063905
90.0,85.0,14.524276735358203
90.0,90.0,14.534958148663772
95.0,-90.0,14.405611173066939
95.0,-85.0,14.426724461860402
95.0,-80.0,14.495616676565731
95.0,-75.0,14.551192084674451
95.0,-70.0,14.561580278953468
95.0,-65.0,14.529962735618103
95.0,-60.0,14.619283978760034
95.0,-55.0,14.606376770230469
95.0,-50.0,14.592896368648198
95.0,-45.0,14.615952947284002
95.0,-40.0,14.605627325317833
95.0,-35.0,14.615425706909063
95.0,-30.0,14.530783992042583
95.0,-25.0,14.368795439703028
95.0,-20.0,14.180339445659753
95.0,-15.0,13.918166584975022
95.0,-10.0,13.74608843859943
95.0,-5.0,12.7788165000373
95.0,0.0,12.769947058288304
95.0,5.0,14.124519968542053
95.0,10.0,14.248762882988169
95.0,15.0,14.28163699964188
95.0,20.0,14.352176283659222
95.0,25.0,14.415452833784677
95.0,30.0,14.423140123468327
95.0,35.0,14.425566242248332
95.0,40.0,14.469494075927091
95.0,45.0,14.448035870151687
95.0,50.0,14.364913817365089
95.0,55.0,14.421600313688009
95.0,60.0,14.41532223316147
95.0,65.0,14.485590486396822
95.0,70.0,14.544449740541166
95.0,75.0,14.573298481551388
95.0,80.0,14.59114689021428
95.0,85.0,14.53883809825817
95.0,90.0,14.534958148663772
100.0,-90.0,14.405611173066939
100.0,-85.0,14.430053699003128
100.0,-80.0,14.506303649374393
100.0,-75.0,14.555994813346087
100.0,-70.0,14.56431817238431
100.0,-65.0,14.592029359330317
100.0,-60.0,14.646904442918482
100.0,-55.0,14.63683004695847
100.0,-50.0,14.641130487274607
100.0,-45.0,14.638296366505715
100.0,-40.0,14.591083962335729
100.0,-35.0,14.562357196646728
100.0,-30.0,14.36647203986035
100.0,-25.0,14.252134566323688
100.0,-20.0,13.816077518926924
100.0,-15.0,13.784426507637757
100.0,-10.0,13.946051873725596
100.0,-5.0,13.206918033544374
100.0,0.0,12.728390142474495
100.0,5.0,14.284238877772301
100.0,10.0,14.345467798880545
100.0,15.0,14.286925480869831
100.0,20.0,14.376911386906704
100.0,25.0,14.418754381621874
100.0,30.0,14.444004451988192
100.0,35.0,14.482963866833867
100.0,40.0,14.47337498165449
100.0,45.0,14.422878981668868
100.0,50.0,14.346727163327138
100.0,55.0,14.371299035573228
100.0,60.0,14.364341011120262
100.0,65.0,14.48606116535019
100.0,70.0,14.535656643761072
100.0,75.0,14.559061800645177
100.0,80.0,14.586636173271767
100.0,85.0,14.542496601219165
100.0,90.0,14.534958148663772
105.0,-90.0,14.405611173066939
105.0,-85.0,14.430421748794958
105.0,-80.0,14.533480932908637
105.0,-75.0,14.563260906063915
105.0,-70.0,14.626197443620342
105.0,-65.0,14.611835183535407
105.0,-60.0,14.66819657474234
105.0,-55.0,14.660992859484223
105.0,-50.0,14.670615961191674
105.0,-45.0,14.63280344105016
105.0,-40.0,14.505138119305999
105.0,-35.0,14.35630883848678
105.0,-30.0,14.231826850369368
105.0,-25.0,14.100727127018443
105.0,-20.0,13.73922063625671
105.0,-15.0,13.655108818425141
105.0,-10.0,13.996864354157918
105.0,-5.0,13.594431823245252
105.0,0.0,12.699888058552348
105.0,5.0,13.411019919005994
